Date,Revenue
2020-11-25,Wednesday,627,5574,696.75,Promotion Blue
2020-11-26,Thursday,2105,17294,1572.181818,Promotion Red
2020-11-27,Friday,1671,14760,1845,Promotion Red
2020-11-28,Saturday,1105,8091,899,Promotion Red
2020-11-29,Sunday,1698,10647,1330.875,Promotion Red
2020-11-30,Monday,1541,9144,1016,No Promo
2020-12-01,Tuesday,1245,8307,923,No Promo
2020-12-02,Wednesday,1955,14254,1425.4,Promotion Red
2020-12-03,Thursday,2171,16644,1664.4,No Promo
2020-12-04,Friday,1975,20607,2575.875,Promotion Blue
2020-12-05,Saturday,1186,7765,776.5,No Promo
2020-12-06,Sunday,1822,10075,915.9090909,Promotion Red
2020-12-07,Monday,1584,9612,961.2,Promotion Red
2020-12-08,Tuesday,1961,11601,1450.125,No Promo
2020-12-09,Wednesday,2464,16300,1811.111111,No Promo
2020-12-10,Thursday,2394,17740,1971.111111,No Promo
2020-12-11,Friday,1322,10140,1267.5,No Promo
2020-12-12,Saturday,1167,9097,1010.777778,Promotion Blue
2020-12-13,Sunday,1163,8802,880.2,Promotion Blue
2020-12-14,Monday,1772,11679,1297.666667,Promotion Red
2020-12-15,Tuesday,1740,11952,1086.545455,Promotion Red
2020-12-16,Wednesday,1317,9213,1023.666667,No Promo
2020-12-17,Thursday,2330,17618,1601.636364,No Promo
2020-12-18,Friday,2056,18161,2270.125,Promotion Blue
2020-12-19,Saturday,1191,8800,880,Promotion Red
2020-12-20,Sunday,1828,11737,1304.111111,No Promo
2020-12-21,Monday,1605,12038,1203.8,Promotion Blue
2020-12-22,Tuesday,1571,10245,1024.5,Promotion Red
2020-12-23,Wednesday,1288,11817,1181.7,Promotion Blue
2020-12-24,Thursday,2556,19550,1955,No Promo
2020-12-25,Friday,2152,21031,2336.777778,Promotion Blue
2020-12-26,Saturday,2678,36283,4535.375,Promotion Blue
2020-12-27,Sunday,2020,23014,2557.111111,Promotion Blue
2020-12-28,Monday,1480,8611,782.8181818,No Promo
2020-12-29,Tuesday,1226,7793,779.3,Promotion Red
2020-12-30,Wednesday,1328,9180,918,Promotion Red
2020-12-31,Thursday,2295,19280,2410,No Promo
2021-01-01,Friday,2032,21428,1948,Promotion Blue
2021-01-02,Saturday,1030,9062,1006.888889,Promotion Blue
2021-01-03,Sunday,1442,9952,1244,Promotion Blue
2021-01-04,Monday,1476,8563,1070.375,No Promo
2021-01-05,Tuesday,1272,9418,856.1818182,Promotion Red
2021-01-06,Wednesday,2054,25766,2862.888889,Promotion Red
2021-01-07,Thursday,4139,30146,3014.6,No Promo
2021-01-08,Friday,2286,15962,1596.2,No Promo
2021-01-09,Saturday,1371,11249,1406.125,Promotion Blue
2021-01-10,Sunday,1484,12129,1516.125,Promotion Red
2021-01-11,Monday,1571,7300,912.5,No Promo
2021-01-12,Tuesday,1454,8702,870.2,Promotion Red
2021-01-13,Wednesday,1243,7509,834.3333333,No Promo
2021-01-14,Thursday,2753,22797,2072.454545,Promotion Red
2021-01-15,Friday,2312,21245,2655.625,Promotion Blue
2021-01-16,Saturday,1414,11699,1169.9,Promotion Blue
2021-01-17,Sunday,1524,9602,960.2,Promotion Red
2021-01-18,Monday,1469,8633,784.8181818,Promotion Red
2021-01-19,Tuesday,1302,7287,728.7,Promotion Red
2021-01-20,Wednesday,1659,9261,841.9090909,No Promo
2021-01-21,Thursday,2120,14770,1641.111111,No Promo
2021-01-22,Friday,2482,24417,2713,Promotion Blue
2021-01-23,Saturday,1820,11329,1029.909091,No Promo
2021-01-24,Sunday,1628,12445,1244.5,Promotion Red
2021-01-25,Monday,1430,10925,1365.625,Promotion Blue
2021-01-26,Tuesday,488,2898,322,No Promo
2021-01-27,Wednesday,1084,7049,881.125,No Promo
2021-01-28,Thursday,1864,12832,1425.777778,No Promo
2021-01-29,Friday,1844,13024,1447.111111,No Promo
2021-01-30,Saturday,1065,7074,786,No Promo
2021-01-31,Sunday,1582,9316,1035.111111,No Promo
2021-02-01,Monday,1407,10479,1047.9,Promotion Blue
2021-02-02,Tuesday,1496,12783,1162.090909,Promotion Blue
2021-02-03,Wednesday,2176,18678,1698,Promotion Blue
2021-02-04,Thursday,2010,14696,1336,No Promo
2021-02-05,Friday,2015,17661,2207.625,Promotion Red
2021-02-06,Saturday,1488,9095,909.5,Promotion Red
2021-02-07,Sunday,1608,9199,836.2727273,No Promo
2021-02-08,Monday,1337,9294,929.4,No Promo
2021-02-09,Tuesday,2266,20860,2317.777778,Promotion Blue
2021-02-10,Wednesday,1925,13602,1511.333333,Promotion Blue
2021-02-11,Thursday,826,6546,818.25,No Promo
2021-02-12,Friday,1387,10310,937.2727273,No Promo
2021-02-13,Saturday,599,3392,424,No Promo
2021-02-14,Sunday,968,5772,524.7272727,Promotion Red
2021-02-15,Monday,1482,9987,907.9090909,Promotion Red
2021-02-16,Tuesday,1420,8422,935.7777778,No Promo
2021-02-17,Wednesday,1171,7809,780.9,No Promo
2021-02-18,Thursday,2395,24247,3030.875,Promotion Blue
2021-02-19,Friday,2029,14706,1336.909091,No Promo
2021-02-20,Saturday,1047,6427,803.375,No Promo
2021-02-21,Sunday,1464,7462,829.1111111,No Promo
2021-02-22,Monday,1428,8371,837.1,No Promo
2021-02-23,Tuesday,1154,9135,1015,Promotion Red
2021-02-24,Wednesday,1841,13719,1371.9,Promotion Blue
2021-02-25,Thursday,2248,20237,2529.625,Promotion Blue
2021-02-26,Friday,2553,26608,2418.909091,Promotion Blue
2021-02-27,Saturday,1797,12789,1278.9,Promotion Red
2021-02-28,Sunday,1912,12036,1337.333333,No Promo
2021-03-01,Monday,1786,13212,1468,Promotion Blue
2021-03-02,Tuesday,1096,6155,615.5,No Promo
2021-03-03,Wednesday,1068,8223,822.3,Promotion Red
2021-03-04,Thursday,1976,16727,1672.7,Promotion Blue
2021-03-05,Friday,1806,15474,1719.333333,Promotion Blue
2021-03-06,Saturday,1621,12850,1427.777778,Promotion Blue
2021-03-07,Sunday,1001,6681,668.1,No Promo
2021-03-08,Monday,1477,8338,926.4444444,No Promo
2021-03-09,Tuesday,1401,8569,779,No Promo
2021-03-10,Wednesday,2190,17752,1613.818182,Promotion Red
2021-03-11,Thursday,2439,25704,2570.4,Promotion Blue
2021-03-12,Friday,2220,15302,1912.75,No Promo
2021-03-13,Saturday,2732,28196,3524.5,Promotion Blue
2021-03-14,Sunday,967,7878,787.8,Promotion Blue
2021-03-15,Monday,1544,8083,734.8181818,No Promo
2021-03-16,Tuesday,1455,7518,939.75,No Promo
2021-03-17,Wednesday,2194,14608,1826,No Promo
2021-03-18,Thursday,1923,14909,1490.9,Promotion Red
2021-03-19,Friday,685,5903,590.3,Promotion Red
2021-03-20,Saturday,543,4169,521.125,Promotion Red
2021-03-21,Sunday,1472,9486,862.3636364,Promotion Red
2021-03-22,Monday,1368,9209,1151.125,Promotion Red
2021-03-23,Tuesday,1454,11494,1277.111111,Promotion Blue
2021-03-24,Wednesday,2080,15190,1519,Promotion Red
2021-03-25,Thursday,2611,22701,2837.625,Promotion Red
2021-03-26,Friday,2434,22587,2258.7,Promotion Blue
2021-03-27,Saturday,1437,7820,868.8888889,No Promo
2021-03-28,Sunday,1642,14587,1620.777778,Promotion Blue
2021-03-29,Monday,1320,9262,842,Promotion Red
2021-03-30,Tuesday,1363,7794,866,No Promo
2021-03-31,Wednesday,2068,14957,1869.625,Promotion Red
2021-04-01,Thursday,2311,23368,2921,Promotion Blue
2021-04-02,Friday,2091,15782,1972.75,No Promo
2021-04-03,Saturday,1532,12027,1336.333333,Promotion Red
2021-04-04,Sunday,1406,7545,754.5,No Promo
2021-04-05,Monday,1180,8396,763.2727273,Promotion Red
2021-04-06,Tuesday,1244,8828,882.8,Promotion Red
2021-04-07,Wednesday,1812,16777,1677.7,Promotion Red
2021-04-08,Thursday,2273,19843,1803.909091,Promotion Red
2021-04-09,Friday,2158,23870,2652.222222,Promotion Blue
2021-04-10,Saturday,1625,10431,1043.1,No Promo
2021-04-11,Sunday,1485,11221,1020.090909,Promotion Blue
2021-04-12,Monday,1499,10027,1114.111111,Promotion Red
2021-04-13,Tuesday,1511,11484,1148.4,Promotion Blue
2021-04-14,Wednesday,1803,16347,1634.7,Promotion Blue
2021-04-15,Thursday,2101,15828,1758.666667,No Promo
2021-04-16,Friday,1915,14714,1337.636364,No Promo
2021-04-17,Saturday,1509,9520,865.4545455,No Promo
2021-04-18,Sunday,1399,12251,1531.375,Promotion Blue
2021-04-19,Monday,1648,9645,964.5,Promotion Red
2021-04-20,Tuesday,1154,7058,784.2222222,No Promo
2021-04-21,Wednesday,1122,6591,732.3333333,No Promo
2021-04-22,Thursday,2302,24506,2227.818182,Promotion Blue
2021-04-23,Friday,1942,14358,1595.333333,No Promo
2021-04-24,Saturday,1345,9360,850.9090909,Promotion Red
2021-04-25,Sunday,1166,11650,1059.090909,Promotion Blue
2021-04-26,Monday,1105,8438,843.8,No Promo
2021-04-27,Tuesday,1256,8046,731.4545455,Promotion Red
2021-04-28,Wednesday,1236,9540,1060,Promotion Blue
2021-04-29,Thursday,2139,22655,2059.545455,Promotion Blue
2021-04-30,Friday,1836,19167,1916.7,Promotion Blue
2021-05-01,Saturday,1380,8862,805.6363636,No Promo
2021-05-02,Sunday,1423,12111,1513.875,Promotion Red
2021-05-03,Monday,1382,11273,1024.818182,Promotion Red
2021-05-04,Tuesday,2152,13805,1533.888889,No Promo
2021-05-05,Wednesday,1400,11196,1119.6,No Promo
2021-05-06,Thursday,2244,18611,2067.888889,Promotion Red
2021-05-07,Friday,2023,14502,1450.2,No Promo
2021-05-08,Saturday,1483,8975,1121.875,No Promo
2021-05-09,Sunday,1303,6968,871,No Promo
Date,Day_Name,Visitors,Revenue,Marketing Spend,Promo
2020-11-09,Monday,707,5211,651.375,No Promo
2020-11-10,Tuesday,1455,10386,1298.25,Promotion Red
2020-11-11,Wednesday,1520,12475,1559.375,Promotion Blue
2020-11-12,Thursday,1726,14414,1801.75,No Promo
2020-11-13,Friday,2134,20916,2614.5,No Promo
2020-11-14,Saturday,1316,12996,1444,Promotion Blue
2020-11-15,Sunday,1287,11929,1325.444444,Promotion Blue
2020-11-16,Monday,1548,10072,1119.111111,No Promo
2020-11-17,Tuesday,1448,12016,1092.363636,Promotion Blue
2020-11-18,Wednesday,1362,9067,906.7,No Promo
2020-11-19,Thursday,2321,17660,1605.454545,No Promo
2020-11-20,Friday,1819,15188,1687.555556,Promotion Red
2020-11-21,Saturday,1180,7813,710.2727273,No Promo
2020-11-22,Sunday,2138,21963,2745.375,Promotion Red
2020-11-23,Monday,2632,34278,4284.75,Promotion Blue
2020-11-24,Tuesday,1752,18650,1695.454545,Promotion Blue
2020-11-25,Wednesday,627,5574,696.75,Promotion Blue
2020-11-26,Thursday,2105,17294,1572.181818,Promotion Red
2020-11-27,Friday,1671,14760,1845,Promotion Red
2020-11-28,Saturday,1105,8091,899,Promotion Red
2020-11-29,Sunday,1698,10647,1330.875,Promotion Red
2020-11-30,Monday,1541,9144,1016,No Promo
2020-12-01,Tuesday,1245,8307,923,No Promo
2020-12-02,Wednesday,1955,14254,1425.4,Promotion Red
2020-12-03,Thursday,2171,16644,1664.4,No Promo
2020-12-04,Friday,1975,20607,2575.875,Promotion Blue
2020-12-05,Saturday,1186,7765,776.5,No Promo
2020-12-06,Sunday,1822,10075,915.9090909,Promotion Red
2020-12-07,Monday,1584,9612,961.2,Promotion Red
2020-12-08,Tuesday,1961,11601,1450.125,No Promo
2020-12-09,Wednesday,2464,16300,1811.111111,No Promo
2020-12-10,Thursday,2394,17740,1971.111111,No Promo
2020-12-11,Friday,1322,10140,1267.5,No Promo
2020-12-12,Saturday,1167,9097,1010.777778,Promotion Blue
2020-12-13,Sunday,1163,8802,880.2,Promotion Blue
2020-12-14,Monday,1772,11679,1297.666667,Promotion Red
2020-12-15,Tuesday,1740,11952,1086.545455,Promotion Red
2020-12-16,Wednesday,1317,9213,1023.666667,No Promo
2020-12-17,Thursday,2330,17618,1601.636364,No Promo
2020-12-18,Friday,2056,18161,2270.125,Promotion Blue
2020-12-19,Saturday,1191,8800,880,Promotion Red
2020-12-20,Sunday,1828,11737,1304.111111,No Promo
2020-12-21,Monday,1605,12038,1203.8,Promotion Blue
2020-12-22,Tuesday,1571,10245,1024.5,Promotion Red
2020-12-23,Wednesday,1288,11817,1181.7,Promotion Blue
2020-12-24,Thursday,2556,19550,1955,No Promo
2020-12-25,Friday,2152,21031,2336.777778,Promotion Blue
2020-12-26,Saturday,2678,36283,4535.375,Promotion Blue
2020-12-27,Sunday,2020,23014,2557.111111,Promotion Blue
2020-12-28,Monday,1480,8611,782.8181818,No Promo
2020-12-29,Tuesday,1226,7793,779.3,Promotion Red
2020-12-30,Wednesday,1328,9180,918,Promotion Red
2020-12-31,Thursday,2295,19280,2410,No Promo
2021-01-01,Friday,2032,21428,1948,Promotion Blue
2021-01-02,Saturday,1030,9062,1006.888889,Promotion Blue
2021-01-03,Sunday,1442,9952,1244,Promotion Blue
2021-01-04,Monday,1476,8563,1070.375,No Promo
2021-01-05,Tuesday,1272,9418,856.1818182,Promotion Red
2021-01-06,Wednesday,2054,25766,2862.888889,Promotion Red
2021-01-07,Thursday,4139,30146,3014.6,No Promo
2021-01-08,Friday,2286,15962,1596.2,No Promo
2021-01-09,Saturday,1371,11249,1406.125,Promotion Blue
2021-01-10,Sunday,1484,12129,1516.125,Promotion Red
2021-01-11,Monday,1571,7300,912.5,No Promo
2021-01-12,Tuesday,1454,8702,870.2,Promotion Red
2021-01-13,Wednesday,1243,7509,834.3333333,No Promo
2021-01-14,Thursday,2753,22797,2072.454545,Promotion Red
2021-01-15,Friday,2312,21245,2655.625,Promotion Blue
2021-01-16,Saturday,1414,11699,1169.9,Promotion Blue
2021-01-17,Sunday,1524,9602,960.2,Promotion Red
2021-01-18,Monday,1469,8633,784.8181818,Promotion Red
2021-01-19,Tuesday,1302,7287,728.7,Promotion Red
2021-01-20,Wednesday,1659,9261,841.9090909,No Promo
2021-01-21,Thursday,2120,14770,1641.111111,No Promo
2021-01-22,Friday,2482,24417,2713,Promotion Blue
2021-01-23,Saturday,1820,11329,1029.909091,No Promo
2021-01-24,Sunday,1628,12445,1244.5,Promotion Red
2021-01-25,Monday,1430,10925,1365.625,Promotion Blue
2021-01-26,Tuesday,488,2898,322,No Promo
2021-01-27,Wednesday,1084,7049,881.125,No Promo
2021-01-28,Thursday,1864,12832,1425.777778,No Promo
2021-01-29,Friday,1844,13024,1447.111111,No Promo
2021-01-30,Saturday,1065,7074,786,No Promo
2021-01-31,Sunday,1582,9316,1035.111111,No Promo
2021-02-01,Monday,1407,10479,1047.9,Promotion Blue
2021-02-02,Tuesday,1496,12783,1162.090909,Promotion Blue
2021-02-03,Wednesday,2176,18678,1698,Promotion Blue
2021-02-04,Thursday,2010,14696,1336,No Promo
2021-02-05,Friday,2015,17661,2207.625,Promotion Red
2021-02-06,Saturday,1488,9095,909.5,Promotion Red
2021-02-07,Sunday,1608,9199,836.2727273,No Promo
2021-02-08,Monday,1337,9294,929.4,No Promo
2021-02-09,Tuesday,2266,20860,2317.777778,Promotion Blue
2021-02-10,Wednesday,1925,13602,1511.333333,Promotion Blue
2021-02-11,Thursday,826,6546,818.25,No Promo
2021-02-12,Friday,1387,10310,937.2727273,No Promo
2021-02-13,Saturday,599,3392,424,No Promo
2021-02-14,Sunday,968,5772,524.7272727,Promotion Red
2021-02-15,Monday,1482,9987,907.9090909,Promotion Red
2021-02-16,Tuesday,1420,8422,935.7777778,No Promo
2021-02-17,Wednesday,1171,7809,780.9,No Promo
2021-02-18,Thursday,2395,24247,3030.875,Promotion Blue
2021-02-19,Friday,2029,14706,1336.909091,No Promo
2021-02-20,Saturday,1047,6427,803.375,No Promo
2021-02-21,Sunday,1464,7462,829.1111111,No Promo
2021-02-22,Monday,1428,8371,837.1,No Promo
2021-02-23,Tuesday,1154,9135,1015,Promotion Red
2021-02-24,Wednesday,1841,13719,1371.9,Promotion Blue
2021-02-25,Thursday,2248,20237,2529.625,Promotion Blue
2021-02-26,Friday,2553,26608,2418.909091,Promotion Blue
2021-02-27,Saturday,1797,12789,1278.9,Promotion Red
2021-02-28,Sunday,1912,12036,1337.333333,No Promo
2021-03-01,Monday,1786,13212,1468,Promotion Blue
2021-03-02,Tuesday,1096,6155,615.5,No Promo
2021-03-03,Wednesday,1068,8223,822.3,Promotion Red
2021-03-04,Thursday,1976,16727,1672.7,Promotion Blue
2021-03-05,Friday,1806,15474,1719.333333,Promotion Blue
2021-03-06,Saturday,1621,12850,1427.777778,Promotion Blue
2021-03-07,Sunday,1001,6681,668.1,No Promo
2021-03-08,Monday,1477,8338,926.4444444,No Promo
2021-03-09,Tuesday,1401,8569,779,No Promo
2021-03-10,Wednesday,2190,17752,1613.818182,Promotion Red
2021-03-11,Thursday,2439,25704,2570.4,Promotion Blue
2021-03-12,Friday,2220,15302,1912.75,No Promo
2021-03-13,Saturday,2732,28196,3524.5,Promotion Blue
2021-03-14,Sunday,967,7878,787.8,Promotion Blue
2021-03-15,Monday,1544,8083,734.8181818,No Promo
2021-03-16,Tuesday,1455,7518,939.75,No Promo
2021-03-17,Wednesday,2194,14608,1826,No Promo
2021-03-18,Thursday,1923,14909,1490.9,Promotion Red
2021-03-19,Friday,685,5903,590.3,Promotion Red
2021-03-20,Saturday,543,4169,521.125,Promotion Red
2021-03-21,Sunday,1472,9486,862.3636364,Promotion Red
2021-03-22,Monday,1368,9209,1151.125,Promotion Red
2021-03-23,Tuesday,1454,11494,1277.111111,Promotion Blue
2021-03-24,Wednesday,2080,15190,1519,Promotion Red
2021-03-25,Thursday,2611,22701,2837.625,Promotion Red
2021-03-26,Friday,2434,22587,2258.7,Promotion Blue
2021-03-27,Saturday,1437,7820,868.8888889,No Promo
2021-03-28,Sunday,1642,14587,1620.777778,Promotion Blue
2021-03-29,Monday,1320,9262,842,Promotion Red
2021-03-30,Tuesday,1363,7794,866,No Promo
2021-03-31,Wednesday,2068,14957,1869.625,Promotion Red
2021-04-01,Thursday,2311,23368,2921,Promotion Blue
2021-04-02,Friday,2091,15782,1972.75,No Promo
2021-04-03,Saturday,1532,12027,1336.333333,Promotion Red
2021-04-04,Sunday,1406,7545,754.5,No Promo
2021-04-05,Monday,1180,8396,763.2727273,Promotion Red
2021-04-06,Tuesday,1244,8828,882.8,Promotion Red
2021-04-07,Wednesday,1812,16777,1677.7,Promotion Red
2021-04-08,Thursday,2273,19843,1803.909091,Promotion Red
2021-04-09,Friday,2158,23870,2652.222222,Promotion Blue
2021-04-10,Saturday,1625,10431,1043.1,No Promo
2021-04-11,Sunday,1485,11221,1020.090909,Promotion Blue
2021-04-12,Monday,1499,10027,1114.111111,Promotion Red
2021-04-13,Tuesday,1511,11484,1148.4,Promotion Blue
2021-04-14,Wednesday,1803,16347,1634.7,Promotion Blue
2021-04-15,Thursday,2101,15828,1758.666667,No Promo
2021-04-16,Friday,1915,14714,1337.636364,No Promo
2021-04-17,Saturday,1509,9520,865.4545455,No Promo
2021-04-18,Sunday,1399,12251,1531.375,Promotion Blue
2021-04-19,Monday,1648,9645,964.5,Promotion Red
2021-04-20,Tuesday,1154,7058,784.2222222,No Promo
2021-04-21,Wednesday,1122,6591,732.3333333,No Promo
2021-04-22,Thursday,2302,24506,2227.818182,Promotion Blue
2021-04-23,Friday,1942,14358,1595.333333,No Promo
2021-04-24,Saturday,1345,9360,850.9090909,Promotion Red
2021-04-25,Sunday,1166,11650,1059.090909,Promotion Blue
2021-04-26,Monday,1105,8438,843.8,No Promo
2021-04-27,Tuesday,1256,8046,731.4545455,Promotion Red
2021-04-28,Wednesday,1236,9540,1060,Promotion Blue
2021-04-29,Thursday,2139,22655,2059.545455,Promotion Blue
2021-04-30,Friday,1836,19167,1916.7,Promotion Blue
2021-05-01,Saturday,1380,8862,805.6363636,No Promo
2021-05-02,Sunday,1423,12111,1513.875,Promotion Red
2021-05-03,Monday,1382,11273,1024.818182,Promotion Red
2021-05-04,Tuesday,2152,13805,1533.888889,No Promo
2021-05-05,Wednesday,1400,11196,1119.6,No Promo
2021-05-06,Thursday,2244,18611,2067.888889,Promotion Red
2021-05-07,Friday,2023,14502,1450.2,No Promo
2021-05-08,Saturday,1483,8975,1121.875,No Promo
2021-05-09,Sunday,1303,6968,871,No Promo
Date,Day_Name,Visitors,Revenue,Marketing Spend,Promo
2020-11-09,Monday,707,5211,651.375,No Promo
2020-11-10,Tuesday,1455,10386,1298.25,Promotion Red
2020-11-11,Wednesday,1520,12475,1559.375,Promotion Blue
2020-11-12,Thursday,1726,14414,1801.75,No Promo
2020-11-13,Friday,2134,20916,2614.5,No Promo
2020-11-14,Saturday,1316,12996,1444,Promotion Blue
2020-11-15,Sunday,1287,11929,1325.444444,Promotion Blue
2020-11-16,Monday,1548,10072,1119.111111,No Promo
2020-11-17,Tuesday,1448,12016,1092.363636,Promotion Blue
2020-11-18,Wednesday,1362,9067,906.7,No Promo
2020-11-19,Thursday,2321,17660,1605.454545,No Promo
2020-11-20,Friday,1819,15188,1687.555556,Promotion Red
2020-11-21,Saturday,1180,7813,710.2727273,No Promo
2020-11-22,Sunday,2138,21963,2745.375,Promotion Red
2020-11-23,Monday,2632,34278,4284.75,Promotion Blue
2020-11-24,Tuesday,1752,18650,1695.454545,Promotion Blue
2020-11-25,Wednesday,627,5574,696.75,Promotion Blue
2020-11-26,Thursday,2105,17294,1572.181818,Promotion Red
2020-11-27,Friday,1671,14760,1845,Promotion Red
2020-11-28,Saturday,1105,8091,899,Promotion Red
2020-11-29,Sunday,1698,10647,1330.875,Promotion Red
2020-11-30,Monday,1541,9144,1016,No Promo
2020-12-01,Tuesday,1245,8307,923,No Promo
2020-12-02,Wednesday,1955,14254,1425.4,Promotion Red
2020-12-03,Thursday,2171,16644,1664.4,No Promo
2020-12-04,Friday,1975,20607,2575.875,Promotion Blue
2020-12-05,Saturday,1186,7765,776.5,No Promo
2020-12-06,Sunday,1822,10075,915.9090909,Promotion Red
2020-12-07,Monday,1584,9612,961.2,Promotion Red
2020-12-08,Tuesday,1961,11601,1450.125,No Promo
2020-12-09,Wednesday,2464,16300,1811.111111,No Promo
2020-12-10,Thursday,2394,17740,1971.111111,No Promo
2020-12-11,Friday,1322,10140,1267.5,No Promo
2020-12-12,Saturday,1167,9097,1010.777778,Promotion Blue
2020-12-13,Sunday,1163,8802,880.2,Promotion Blue
2020-12-14,Monday,1772,11679,1297.666667,Promotion Red
2020-12-15,Tuesday,1740,11952,1086.545455,Promotion Red
2020-12-16,Wednesday,1317,9213,1023.666667,No Promo
2020-12-17,Thursday,2330,17618,1601.636364,No Promo
2020-12-18,Friday,2056,18161,2270.125,Promotion Blue
2020-12-19,Saturday,1191,8800,880,Promotion Red
2020-12-20,Sunday,1828,11737,1304.111111,No Promo
2020-12-21,Monday,1605,12038,1203.8,Promotion Blue
2020-12-22,Tuesday,1571,10245,1024.5,Promotion Red
2020-12-23,Wednesday,1288,11817,1181.7,Promotion Blue
2020-12-24,Thursday,2556,19550,1955,No Promo
2020-12-25,Friday,2152,21031,2336.777778,Promotion Blue
2020-12-26,Saturday,2678,36283,4535.375,Promotion Blue
2020-12-27,Sunday,2020,23014,2557.111111,Promotion Blue
2020-12-28,Monday,1480,8611,782.8181818,No Promo
2020-12-29,Tuesday,1226,7793,779.3,Promotion Red
2020-12-30,Wednesday,1328,9180,918,Promotion Red
2020-12-31,Thursday,2295,19280,2410,No Promo
2021-01-01,Friday,2032,21428,1948,Promotion Blue
2021-01-02,Saturday,1030,9062,1006.888889,Promotion Blue
2021-01-03,Sunday,1442,9952,1244,Promotion Blue
2021-01-04,Monday,1476,8563,1070.375,No Promo
2021-01-05,Tuesday,1272,9418,856.1818182,Promotion Red
2021-01-06,Wednesday,2054,25766,2862.888889,Promotion Red
2021-01-07,Thursday,4139,30146,3014.6,No Promo
2021-01-08,Friday,2286,15962,1596.2,No Promo
2021-01-09,Saturday,1371,11249,1406.125,Promotion Blue
2021-01-10,Sunday,1484,12129,1516.125,Promotion Red
2021-01-11,Monday,1571,7300,912.5,No Promo
2021-01-12,Tuesday,1454,8702,870.2,Promotion Red
2021-01-13,Wednesday,1243,7509,834.3333333,No Promo
2021-01-14,Thursday,2753,22797,2072.454545,Promotion Red
2021-01-15,Friday,2312,21245,2655.625,Promotion Blue
2021-01-16,Saturday,1414,11699,1169.9,Promotion Blue
2021-01-17,Sunday,1524,9602,960.2,Promotion Red
2021-01-18,Monday,1469,8633,784.8181818,Promotion Red
2021-01-19,Tuesday,1302,7287,728.7,Promotion Red
